sample_id,component,material,load_case,thickness_mm,cross_section_area_cm2,applied_load_kN,load_factor_g,von_mises_stress_MPa,effective_stress_MPa,stress_concentration_Kt,stress_ratio_R,strain,deformation_mm,elastic_modulus_GPa,yield_strength_MPa,density_g_cm3,temperature_C,fatigue_cycles,fatigue_limit_MPa,crack_length_mm,crack_growth_rate,cumulative_damage_index,safety_margin,utilization_ratio,structural_health_score,rul_cycles,failure_label,risk_class
3329,Bulkhead,Ti-6Al-4V,Pressurization,28.19,30.5,559.79,2.986,164.17,246.25,1.5,0.103,0.001681,0.9901,113.8,880,4.43,18.4,10316,510,50.0,2.8855312e-05,0.0001,3.574,0.2798,81.47,49994,0,Low
3330,Tail_Assembly,Al_2024-T3,2.5g_Pull_Up,25.45,87.51,81.11,3.034,13.5,27.0,2.0,-0.937,0.000208,0.4152,73.1,345,2.78,65.4,4774,138,0.58,1.21484e-07,0.0,10.0,0.0783,98.99,49999,0,Low
3331,Engine_Mount,Inconel_718,Hard_Landing,14.54,75.06,808.19,0.777,130.22,260.43,2.0,-0.529,0.000605,0.4184,200.0,1034,8.19,133.3,701,620,50.0,0.000397944323,0.0,3.97,0.2519,68.63,49999,0,Medium
3332,Tail_Assembly,Ti-6Al-4V,Gust_Load,31.91,89.39,99.83,0.536,5.54,8.31,1.5,0.206,0.00024,0.001,113.8,880,4.43,6.9,9653,510,0.0046,4.81e-10,0.0,10.0,0.0094,100.0,49999,0,Low
3333,Fuselage_Frame,Al_2024-T3,Hard_Landing,20.68,35.29,483.12,3.353,125.6,313.99,2.5,0.245,0.001759,1.1731,73.1,345,2.78,38.3,15366,138,50.0,0.000821375109,0.0105,1.099,0.9101,70.36,49472,0,Medium
3334,Tail_Assembly,CFRP,Ground_Taxi,4.72,84.9,287.26,-0.766,45.34,45.34,1.0,0.258,0.000499,0.2696,135.0,600,1.6,29.7,1592,300,0.7898,4.96137e-07,0.0,10.0,0.0756,93.7,49999,0,Low
3335,Rib_Section,Al_7075-T6,Gust_Load,8.8,52.13,371.08,-0.2,86.24,172.49,2.0,-0.313,0.001199,0.9851,71.7,503,2.81,57.4,14069,159,50.0,1.9595081e-05,0.0012,2.916,0.3429,64.23,49939,0,Medium
3336,Wing_Spar,Ti-6Al-4V,Gust_Load,24.94,100.92,522.55,-0.585,39.78,39.78,1.0,0.07,4.8e-05,0.265,113.8,880,4.43,229.0,42955,510,20.1517,4.69136e-07,0.0,10.0,0.0452,83.5,49999,0,Low
3337,Fuselage_Frame,CFRP,Gust_Load,13.29,96.47,773.44,0.786,102.11,153.16,1.5,-0.028,0.0006,0.001,135.0,600,1.6,15.5,7086,300,50.0,7.9473044e-05,0.0001,3.917,0.2553,70.75,49995,0,Medium
3338,Bulkhead,Al_7075-T6,1g_Level_Flight,31.95,29.31,394.36,0.92,135.33,338.33,2.5,0.538,0.001996,1.2385,71.7,503,2.81,55.9,60034,159,50.0,0.000170353514,0.0315,1.487,0.6726,65.25,48424,0,Medium
3339,Fuselage_Frame,Ti-6Al-4V,Gust_Load,22.04,26.14,839.69,-0.869,328.82,822.05,2.5,-0.759,0.002831,0.7535,113.8,880,4.43,-2.2,22845,510,50.0,0.004476536858,0.0039,1.07,0.9341,58.18,49802,0,Medium
3340,Engine_Mount,CFRP,1g_Level_Flight,30.71,87.54,507.96,2.319,80.35,120.53,1.5,-0.652,0.000621,0.1008,135.0,600,1.6,125.9,144,300,3.911,2.715961e-05,0.0,4.978,0.2009,96.24,49999,0,Low
3341,Landing_Gear,CFRP,Hard_Landing,22.19,68.3,144.87,2.173,32.74,32.74,1.0,0.639,0.000356,0.001,135.0,600,1.6,112.7,43554,300,1.2702,2.9163e-08,0.0,10.0,0.0546,86.52,49999,0,Low
3342,Bulkhead,Inconel_718,Pressurization,21.34,69.08,169.61,1.739,24.55,36.82,1.5,-0.455,0.000141,0.001,200.0,1034,8.19,107.8,10700,620,3.6294,3.39198e-07,0.0,10.0,0.0356,95.61,49999,0,Low
3343,Skin_Panel,CFRP,1g_Level_Flight,11.03,91.54,611.53,-0.308,56.73,85.1,1.5,0.404,0.000334,0.333,135.0,600,1.6,72.0,13765,300,50.0,4.459228e-06,0.0,7.051,0.1418,76.7,49999,0,Low
3344,Fuselage_Frame,Inconel_718,Hard_Landing,9.15,103.32,52.33,-0.777,45.69,45.69,1.0,0.638,0.000227,0.001,200.0,1034,8.19,-23.9,14094,620,11.9226,8.45936e-07,0.0,10.0,0.0442,99.39,49999,0,Low
3345,Bulkhead,Steel_4340,1g_Level_Flight,2.81,32.48,413.49,2.59,115.47,115.47,1.0,-0.151,0.000574,0.001,205.0,470,7.85,82.2,7442,413,50.0,2.1022766e-05,0.0,4.07,0.2457,77.49,49997,0,Low
3346,Bulkhead,Al_2024-T3,Hard_Landing,4.74,68.89,134.5,-0.181,24.3,36.45,1.5,-0.298,0.000292,0.0084,73.1,345,2.78,23.2,8808,138,2.4457,2.77666e-07,0.0,9.466,0.1056,98.03,49999,0,Low
3347,Bulkhead,Al_7075-T6,Hard_Landing,28.76,100.33,373.9,1.601,44.92,67.38,1.5,-0.317,0.000488,0.3321,71.7,503,2.81,111.6,10970,159,0.511,4.6581e-08,0.0001,7.466,0.1339,97.69,49996,0,Low
3348,Landing_Gear,Al_2024-T3,Pressurization,26.54,105.37,639.93,2.228,69.09,138.18,2.0,-0.082,0.00091,0.001,73.1,345,2.78,52.0,50549,138,50.0,1.6779539e-05,0.0032,2.497,0.4005,69.61,49841,0,Medium
3349,Skin_Panel,Al_2024-T3,Gust_Load,3.2,38.05,395.4,1.073,135.83,271.66,2.0,-0.409,0.001849,1.442,73.1,345,2.78,-16.9,3697,138,50.0,0.000150865894,0.0035,1.27,0.7874,67.22,49826,0,Medium
3350,Rib_Section,Inconel_718,Pressurization,9.44,16.98,147.3,-0.544,87.47,174.95,2.0,0.59,0.000293,0.001,200.0,1034,8.19,-0.3,36907,620,50.0,9.406586e-05,0.0,5.91,0.1692,75.07,49999,0,Low
3351,Tail_Assembly,Al_2024-T3,Pressurization,26.79,31.77,221.62,0.531,68.32,170.8,2.5,-0.135,0.000843,0.52,73.1,345,2.78,0.8,55854,138,50.0,1.708089e-05,0.0034,2.02,0.4951,63.2,49832,0,Medium
3352,Bulkhead,CFRP,Gust_Load,3.99,113.73,318.73,0.243,51.31,153.93,3.0,-0.956,0.000308,0.3805,135.0,600,1.6,-6.6,8296,300,50.0,4.4304981e-05,0.0,3.898,0.2565,61.35,49999,0,Medium
3353,Wing_Spar,Inconel_718,Hard_Landing,11.09,58.19,68.43,-0.526,9.72,14.58,1.5,-0.417,1e-05,0.051,200.0,1034,8.19,255.4,4259,620,0.0254,5.96e-09,0.0,10.0,0.0141,91.83,49999,0,Low
3354,Rib_Section,Al_2024-T3,Gust_Load,9.15,53.14,500.84,2.713,107.4,268.49,2.5,-0.405,0.001482,0.3274,73.1,345,2.78,3.9,9294,138,50.0,8.6925733e-05,0.0034,1.285,0.7782,56.96,49829,0,Medium
3355,Engine_Mount,Inconel_718,Hard_Landing,27.21,6.5,520.33,0.761,802.84,2007.11,2.5,0.372,0.004038,0.876,200.0,1034,8.19,185.0,1606,620,50.0,0.554826109795,0.0045,0.515,1.9411,53.69,49774,0,Medium
3356,Landing_Gear,Steel_4340,Gust_Load,17.63,10.87,62.21,1.095,71.06,71.06,1.0,0.426,0.000292,0.001,205.0,470,7.85,49.3,25840,413,50.0,2.519614e-06,0.0,6.614,0.1512,75.04,49998,0,Low
3357,Fuselage_Frame,Inconel_718,Neg1g_Push_Over,27.74,81.9,347.94,0.134,53.37,53.37,1.0,0.554,0.00013,0.1302,200.0,1034,8.19,26.3,5669,620,4.0205,7.09212e-07,0.0,10.0,0.0516,92.13,49999,0,Low
3358,Landing_Gear,Ti-6Al-4V,1g_Level_Flight,10.43,72.83,357.76,3.343,43.08,129.23,3.0,0.658,0.000419,0.536,113.8,880,4.43,-51.1,5441,510,33.3213,6.124108e-06,0.0,6.81,0.1468,75.66,49999,0,Low
3359,Fuselage_Frame,CFRP,Pressurization,24.8,71.19,290.41,0.215,13.14,45.97,3.5,0.486,0.000152,0.0762,135.0,600,1.6,-6.2,16785,300,1.4605,8.7013e-08,0.0,10.0,0.0766,85.58,49999,0,Low
3360,Landing_Gear,Al_7075-T6,Hard_Landing,18.52,17.69,478.5,1.258,245.43,490.86,2.0,-0.494,0.003433,2.0398,71.7,503,2.81,-48.3,12359,159,50.0,0.000869974662,0.0702,1.025,0.9759,65.96,46491,0,Medium
3361,Fuselage_Frame,Ti-6Al-4V,2.5g_Pull_Up,30.29,45.49,300.6,2.213,38.48,57.72,1.5,-0.334,0.000342,0.5413,113.8,880,4.43,79.2,13220,510,0.1996,1.5101e-08,0.0,10.0,0.0656,90.66,49999,0,Low
3362,Bulkhead,Ti-6Al-4V,Gust_Load,33.87,98.42,359.78,3.484,35.19,70.38,2.0,0.016,0.000369,0.025,113.8,880,4.43,111.4,9939,510,20.2194,2.034345e-06,0.0,10.0,0.08,79.81,49999,0,Low
3363,Tail_Assembly,Ti-6Al-4V,Gust_Load,2.16,25.11,679.92,3.351,235.44,235.44,1.0,-0.876,0.002059,0.8884,113.8,880,4.43,32.5,8985,510,50.0,0.00025088687,0.0004,3.738,0.2675,76.71,49979,0,Low
3364,Fuselage_Frame,Al_2024-T3,Ground_Taxi,2.32,106.51,146.17,0.698,11.32,28.31,2.5,0.372,6.3e-05,0.3705,73.1,345,2.78,42.7,5690,138,0.0046,8.12e-10,0.0,10.0,0.0821,86.81,49999,0,Low
3365,Skin_Panel,Inconel_718,2.5g_Pull_Up,31.75,18.97,530.06,2.038,281.42,281.42,1.0,-0.139,0.0014,1.0822,200.0,1034,8.19,92.9,4985,620,50.0,0.00085938227,0.0002,3.674,0.2722,68.64,49989,0,Medium
3366,Fuselage_Frame,Inconel_718,2.5g_Pull_Up,9.86,24.45,434.7,3.194,190.62,190.62,1.0,0.666,0.000914,0.2631,200.0,1034,8.19,-51.7,76455,620,50.0,0.000131931526,0.0007,5.424,0.1844,82.64,49965,0,Low
3367,Wing_Spar,Al_2024-T3,Pressurization,26.99,59.94,266.26,2.462,51.99,155.96,3.0,0.272,0.000704,0.2627,73.1,345,2.78,240.5,7735,138,50.0,5.113439e-05,0.0002,2.212,0.4521,57.6,49992,0,Medium
3368,Fuselage_Frame,CFRP,Neg1g_Push_Over,4.39,113.71,621.13,1.636,68.15,136.3,2.0,0.283,0.000593,0.1728,135.0,600,1.6,59.5,10607,300,50.0,4.1173614e-05,0.0,4.402,0.2272,70.53,49998,0,Medium
3369,Wing_Spar,Al_2024-T3,1g_Level_Flight,14.73,42.9,473.0,0.931,116.47,174.7,1.5,-0.674,0.001473,1.1176,73.1,345,2.78,283.8,7590,138,50.0,0.000118240562,0.0039,1.975,0.5064,62.91,49807,0,Medium
3370,Engine_Mount,Al_2024-T3,Neg1g_Push_Over,20.23,80.7,410.98,2.671,46.08,92.15,2.0,0.725,0.000648,0.1815,73.1,345,2.78,311.1,19434,138,26.8379,1.380978e-06,0.0002,3.744,0.2671,70.53,49987,0,Medium
3371,Bulkhead,Al_2024-T3,1g_Level_Flight,1.72,72.7,570.84,1.947,76.93,269.27,3.5,0.749,0.000927,0.3658,73.1,345,2.78,109.4,2864,138,50.0,0.000199401261,0.0003,1.281,0.7805,55.86,49986,0,Medium
3372,Wing_Spar,CFRP,Hard_Landing,2.2,22.21,683.92,0.979,295.21,295.21,1.0,0.062,0.002095,0.4505,135.0,600,1.6,231.8,801,300,50.0,0.000474837266,0.0008,2.032,0.492,68.94,49962,0,Medium
3373,Tail_Assembly,CFRP,Pressurization,16.36,33.54,827.04,-0.755,250.01,250.01,1.0,-0.634,0.002009,1.4483,135.0,600,1.6,42.1,54767,300,50.0,0.000457605149,0.0264,2.4,0.4167,76.84,48679,0,Low
3374,Rib_Section,Steel_4340,Neg1g_Push_Over,27.03,111.97,538.65,0.525,24.35,48.69,2.0,-0.852,0.000164,0.001,205.0,470,7.85,112.4,11505,413,7.1886,6.24825e-07,0.0,9.653,0.1036,92.43,49999,0,Low
3375,Bulkhead,Steel_4340,Ground_Taxi,4.71,26.26,744.53,1.959,299.56,748.91,2.5,0.399,0.001477,1.0002,205.0,470,7.85,102.4,11998,413,50.0,0.01668712804,0.0033,0.628,1.5934,40.18,49833,1,High
3376,Wing_Spar,Steel_4340,1g_Level_Flight,5.6,84.93,10.92,2.6,5.0,15.0,3.0,0.137,1e-05,0.1723,205.0,470,7.85,145.1,9435,413,0.0397,4.205e-09,0.0,10.0,0.0319,82.4,49999,0,Low
3377,Bulkhead,Steel_4340,Neg1g_Push_Over,21.36,115.94,455.4,1.593,41.59,103.97,2.5,-0.716,0.000179,0.0782,205.0,470,7.85,6.6,767,413,1.9399,2.529262e-06,0.0,4.521,0.2212,85.97,49999,0,Low
3378,Skin_Panel,Inconel_718,Pressurization,17.15,18.74,190.3,2.761,106.35,159.53,1.5,0.45,0.000324,0.001,200.0,1034,8.19,74.3,16936,620,50.0,5.6119743e-05,0.0,6.481,0.1543,75.99,49999,0,Low
3379,Bulkhead,Ti-6Al-4V,Ground_Taxi,32.53,50.91,89.12,0.773,34.95,69.9,2.0,-0.684,0.000311,0.1068,113.8,880,4.43,-54.8,12515,510,13.1881,1.053781e-06,0.0,10.0,0.0794,88.92,49999,0,Low
3380,Bulkhead,Ti-6Al-4V,Pressurization,18.42,30.75,456.86,2.541,123.34,185.01,1.5,-0.659,0.000959,0.9278,113.8,880,4.43,96.0,2307,510,7.9298,3.437282e-06,0.0,4.756,0.2102,81.74,49999,0,Low
3381,Engine_Mount,Steel_4340,2.5g_Pull_Up,33.01,30.48,637.33,0.016,204.22,408.44,2.0,0.023,0.001052,0.4618,205.0,470,7.85,145.9,11120,413,50.0,0.002494922247,0.0007,1.151,0.869,57.61,49966,0,Medium
3382,Tail_Assembly,Steel_4340,Gust_Load,25.19,18.68,356.31,0.472,198.96,198.96,1.0,-0.102,0.000987,0.6734,205.0,470,7.85,-39.8,3990,413,50.0,0.000116711696,0.0002,2.362,0.4233,79.58,49989,0,Low
3383,Landing_Gear,Al_7075-T6,Hard_Landing,28.2,79.7,572.89,0.975,98.15,196.3,2.0,0.126,0.001247,0.1904,71.7,503,2.81,22.4,15327,159,50.0,6.2598444e-05,0.0022,2.562,0.3903,72.06,49888,0,Medium
3384,Landing_Gear,Ti-6Al-4V,Pressurization,14.18,90.83,421.36,1.808,45.81,68.71,1.5,-0.056,0.000441,0.0568,113.8,880,4.43,31.2,16534,510,50.0,3.394317e-06,0.0,10.0,0.0781,77.1,49999,0,Low
3385,Wing_Spar,Al_7075-T6,Hard_Landing,25.84,82.83,377.15,2.434,36.62,54.93,1.5,0.497,0.00072,0.0484,71.7,503,2.81,123.9,5278,159,5.3079,1.005671e-06,0.0,9.158,0.1092,93.1,49999,0,Low
3386,Bulkhead,Al_7075-T6,Pressurization,34.73,111.34,253.82,-0.407,53.2,53.2,1.0,-0.992,0.000722,0.5895,71.7,503,2.81,24.5,1482,159,0.8877,5.99008e-07,0.0,9.454,0.1058,94.92,49999,0,Low
3387,Wing_Spar,Al_2024-T3,2.5g_Pull_Up,17.26,21.75,331.38,-0.713,164.37,246.56,1.5,-0.294,0.002337,1.3595,73.1,345,2.78,151.0,23986,138,50.0,0.000331075258,0.0483,1.399,0.7147,67.16,47585,0,Medium
3388,Engine_Mount,Inconel_718,Pressurization,21.95,41.78,303.83,2.543,93.32,186.64,2.0,0.476,0.000256,0.2403,200.0,1034,8.19,126.7,15177,620,50.0,0.00014445019,0.0,5.54,0.1805,63.61,49999,0,Medium
3389,Engine_Mount,CFRP,Pressurization,20.01,44.63,552.8,2.39,105.73,105.73,1.0,-0.013,0.00083,0.5007,135.0,600,1.6,244.3,13902,300,50.0,8.250832e-06,0.0002,5.675,0.1762,64.21,49989,0,Medium
3390,Fuselage_Frame,Ti-6Al-4V,Neg1g_Push_Over,23.97,31.69,107.46,1.724,41.73,41.73,1.0,0.779,0.00031,0.001,113.8,880,4.43,65.2,13670,510,6.8434,5.00611e-07,0.0,10.0,0.0474,93.57,49999,0,Low
3391,Skin_Panel,Steel_4340,Gust_Load,11.79,21.35,87.81,3.115,24.87,37.31,1.5,0.764,9.4e-05,0.3818,205.0,470,7.85,101.8,19054,413,3.8019,1.99533e-07,0.0,10.0,0.0794,94.96,49999,0,Low
3392,Engine_Mount,Steel_4340,2.5g_Pull_Up,13.59,60.97,564.41,-0.676,72.99,109.49,1.5,0.726,0.000416,0.3406,205.0,470,7.85,94.2,3889,413,33.7452,8.677098e-06,0.0,4.293,0.233,76.95,49999,0,Low
3393,Fuselage_Frame,CFRP,Ground_Taxi,12.68,100.96,468.89,0.727,55.17,110.34,2.0,0.764,0.000384,0.001,135.0,600,1.6,31.1,7832,300,46.0036,5.873804e-06,0.0,5.438,0.1839,79.13,49999,0,Low
3394,Tail_Assembly,Ti-6Al-4V,Gust_Load,28.7,114.77,371.37,1.062,42.13,42.13,1.0,-0.033,0.000209,0.1155,113.8,880,4.43,43.9,3756,510,0.0803,2.1378e-08,0.0,10.0,0.0479,99.42,49999,0,Low
3395,Wing_Spar,Steel_4340,1g_Level_Flight,30.17,19.87,138.05,1.779,62.23,93.35,1.5,-0.093,0.000456,0.3242,205.0,470,7.85,294.4,1106,413,0.0274,2.4772e-08,0.0,5.035,0.1986,87.74,49999,0,Low
3396,Rib_Section,Steel_4340,Neg1g_Push_Over,25.57,99.66,355.26,1.367,57.13,171.38,3.0,-0.072,0.000134,0.1065,205.0,470,7.85,31.4,35578,413,50.0,8.740527e-06,0.0,2.742,0.3646,65.4,49999,0,Medium
3397,Tail_Assembly,Al_2024-T3,Gust_Load,16.22,99.83,673.37,-0.474,61.92,92.88,1.5,-0.988,0.000763,0.3967,73.1,345,2.78,95.7,716,138,0.4896,6.83791e-07,0.0,3.715,0.2692,93.74,49998,0,Low
3398,Engine_Mount,Al_7075-T6,1g_Level_Flight,27.28,49.73,757.28,2.623,148.22,148.22,1.0,-0.612,0.00208,0.7875,71.7,503,2.81,128.6,707,159,3.7489,5.30258e-06,0.0005,3.394,0.2947,89.57,49973,0,Low
3399,Tail_Assembly,Steel_4340,2.5g_Pull_Up,30.83,17.65,600.16,3.26,339.43,848.58,2.5,-0.666,0.00167,1.1416,205.0,470,7.85,57.4,5829,413,50.0,0.008907710028,0.0027,0.554,1.8055,47.41,49867,0,High
3400,Tail_Assembly,Inconel_718,Pressurization,14.81,118.85,60.33,3.098,5.0,7.5,1.5,-0.762,6.8e-05,0.1122,200.0,1034,8.19,118.0,5757,620,0.0013,2.27e-10,0.0,10.0,0.0073,93.69,49999,0,Low
3401,Skin_Panel,Ti-6Al-4V,Hard_Landing,28.98,80.39,573.14,1.465,90.45,180.9,2.0,-0.555,0.000808,0.001,113.8,880,4.43,37.3,607,510,50.0,0.000119687857,0.0,4.864,0.2056,70.27,49999,0,Medium
3402,Skin_Panel,Inconel_718,Gust_Load,29.77,117.95,212.43,2.286,5.0,15.0,3.0,0.779,0.00014,0.001,200.0,1034,8.19,-1.9,21874,620,0.0462,2.11e-09,0.0,10.0,0.0145,90.88,49999,0,Low
3403,Skin_Panel,CFRP,Gust_Load,4.07,60.62,274.81,0.419,34.02,68.04,2.0,-0.995,0.000301,0.0963,135.0,600,1.6,47.4,1872,300,0.546,2.91651e-07,0.0,8.819,0.1134,87.69,49999,0,Low
3404,Tail_Assembly,Al_2024-T3,1g_Level_Flight,25.98,50.45,174.53,0.779,16.73,41.82,2.5,-0.14,0.00011,0.1875,73.1,345,2.78,39.8,1388,138,0.877,6.31862e-07,0.0,8.251,0.1212,80.96,49999,0,Low
3405,Engine_Mount,Ti-6Al-4V,1g_Level_Flight,25.66,33.43,661.63,1.075,226.19,452.38,2.0,0.503,0.001728,0.3397,113.8,880,4.43,148.6,1371,510,50.0,0.005469293343,0.0001,1.945,0.5141,69.8,49997,0,Medium
3406,Rib_Section,Al_2024-T3,Hard_Landing,27.47,118.11,554.83,0.819,42.11,105.27,2.5,-0.337,0.000591,0.5737,73.1,345,2.78,-17.5,15505,138,50.0,1.3051613e-05,0.0001,3.277,0.3051,68.76,49993,0,Medium
3407,Bulkhead,Al_7075-T6,1g_Level_Flight,10.82,34.12,523.94,2.347,142.01,213.02,1.5,-0.448,0.002127,0.1868,71.7,503,2.81,62.1,2780,159,50.0,4.9733694e-05,0.0018,2.361,0.4235,72.15,49911,0,Medium
3408,Tail_Assembly,Steel_4340,1g_Level_Flight,34.8,7.73,571.1,3.08,734.24,2500.0,3.5,-0.18,0.003456,1.581,205.0,470,7.85,48.7,12956,413,50.0,0.68879428442,0.1294,0.188,5.0,31.35,43528,1,High
3409,Fuselage_Frame,Ti-6Al-4V,Gust_Load,15.8,63.93,208.89,1.422,45.41,68.11,1.5,0.451,0.000294,0.5315,113.8,880,4.43,5.3,3364,510,0.6305,1.87421e-07,0.0,10.0,0.0774,96.86,49999,0,Low
3410,Engine_Mount,CFRP,Hard_Landing,23.34,48.36,383.5,0.195,89.26,178.51,2.0,-0.509,0.000697,0.001,135.0,600,1.6,254.9,27167,300,50.0,1.4061105e-05,0.0002,3.361,0.2975,68.03,49989,0,Medium
3411,Tail_Assembly,Al_7075-T6,Hard_Landing,20.36,35.06,541.93,1.693,145.95,145.95,1.0,0.589,0.002084,0.5394,71.7,503,2.81,57.8,3106,159,50.0,3.5972728e-05,0.0022,3.446,0.2902,72.96,49889,0,Medium
3412,Rib_Section,Al_7075-T6,Pressurization,31.34,77.98,544.74,1.193,63.86,95.79,1.5,-0.523,0.001003,0.7842,71.7,503,2.81,-14.6,8426,159,47.0545,5.584443e-06,0.0002,5.251,0.1904,70.02,49989,0,Medium
3413,Bulkhead,Al_2024-T3,Gust_Load,18.5,46.89,675.16,0.58,122.15,183.23,1.5,-0.313,0.001835,1.0868,73.1,345,2.78,27.5,12058,138,50.0,4.2380623e-05,0.0074,1.883,0.5311,73.1,49629,0,Medium
3414,Skin_Panel,Al_7075-T6,Pressurization,23.57,51.26,251.17,1.073,51.08,127.7,2.5,-0.291,0.000736,0.6902,71.7,503,2.81,69.5,31828,159,50.0,1.8528852e-05,0.0003,3.939,0.2539,71.55,49983,0,Medium
3415,Engine_Mount,Ti-6Al-4V,2.5g_Pull_Up,5.47,7.65,657.08,1.739,878.14,2195.35,2.5,0.187,0.007624,3.6831,113.8,880,4.43,122.6,3633,510,50.0,0.581634909451,0.0319,0.401,2.4947,46.97,48403,0,High
3416,Landing_Gear,Al_2024-T3,2.5g_Pull_Up,24.2,72.74,379.75,2.35,43.48,65.22,1.5,-0.781,0.000505,0.1207,73.1,345,2.78,-11.9,14532,138,46.7054,3.213967e-06,0.0001,5.29,0.189,80.42,49992,0,Low
3417,Bulkhead,Al_7075-T6,Gust_Load,2.94,19.04,572.95,0.911,310.48,776.21,2.5,-0.513,0.004276,2.8607,71.7,503,2.81,58.4,475,159,50.0,0.031979037009,0.0069,0.648,1.5432,46.88,49654,0,High
3418,Fuselage_Frame,CFRP,1g_Level_Flight,34.4,29.59,392.8,2.505,124.03,310.07,2.5,-0.778,0.001022,0.001,135.0,600,1.6,3.3,22395,300,50.0,0.000785447173,0.0007,1.935,0.5168,57.13,49967,0,Medium
3419,Tail_Assembly,Inconel_718,Neg1g_Push_Over,27.47,87.47,806.83,1.361,75.81,151.62,2.0,-0.749,0.000329,0.0103,200.0,1034,8.19,25.1,11233,620,16.9449,1.508496e-06,0.0,6.82,0.1466,78.73,49999,0,Low
3420,Rib_Section,Ti-6Al-4V,2.5g_Pull_Up,17.63,41.02,160.61,1.907,49.36,148.07,3.0,-0.205,0.00053,0.3119,113.8,880,4.43,62.1,43520,510,50.0,1.9825443e-05,0.0,5.943,0.1683,65.06,49999,0,Medium
3421,Landing_Gear,CFRP,2.5g_Pull_Up,28.6,23.77,577.0,2.342,277.97,694.92,2.5,0.112,0.001907,0.6447,135.0,600,1.6,46.7,22399,300,50.0,0.011340698829,0.0165,0.863,1.1582,56.94,49174,0,Medium
3422,Rib_Section,CFRP,Gust_Load,5.53,71.4,494.29,-0.291,77.38,77.38,1.0,0.071,0.000602,0.0501,135.0,600,1.6,69.7,7682,300,0.7308,9.5136e-08,0.0,7.754,0.129,90.56,49998,0,Low
3423,Landing_Gear,Al_2024-T3,Pressurization,30.42,29.71,155.09,0.382,45.99,68.98,1.5,0.339,0.000554,0.0678,73.1,345,2.78,11.8,8062,138,29.3329,3.638418e-06,0.0001,5.001,0.1999,82.9,49995,0,Low
3424,Engine_Mount,Steel_4340,Gust_Load,2.16,36.16,65.45,-0.094,12.86,12.86,1.0,0.17,0.000115,0.001,205.0,470,7.85,120.9,100,413,0.0,4.53e-10,0.0,10.0,0.0274,94.42,49999,0,Low
3425,Landing_Gear,Al_2024-T3,Neg1g_Push_Over,32.47,76.45,681.28,0.85,117.75,176.62,1.5,0.428,0.001585,0.601,73.1,345,2.78,-52.3,27309,138,3.811,1.3955e-07,0.0145,1.953,0.5119,99.65,49276,0,Low
3426,Fuselage_Frame,Ti-6Al-4V,Neg1g_Push_Over,8.37,90.08,142.26,0.002,20.4,30.59,1.5,0.607,0.000259,0.0851,113.8,880,4.43,-22.1,24552,510,0.9543,3.8867e-08,0.0,10.0,0.0348,85.58,49999,0,Low
3427,Fuselage_Frame,Ti-6Al-4V,Hard_Landing,34.9,90.06,166.67,0.533,7.02,17.54,2.5,0.063,1.8e-05,0.0267,113.8,880,4.43,115.3,12609,510,0.0073,5.82e-10,0.0,10.0,0.0199,87.49,49999,0,Low
3428,Wing_Spar,Al_2024-T3,Gust_Load,23.28,60.46,831.88,2.92,136.66,341.66,2.5,0.736,0.001867,1.1177,73.1,345,2.78,215.3,7060,138,50.0,0.001047145206,0.0068,1.01,0.9903,48.82,49660,0,High
3429,Fuselage_Frame,Steel_4340,2.5g_Pull_Up,17.29,57.24,612.5,2.645,110.22,165.34,1.5,-0.545,0.000618,0.001,205.0,470,7.85,60.8,24516,413,50.0,8.7599151e-05,0.0001,2.843,0.3518,74.79,49993,0,Medium
3430,Bulkhead,Al_2024-T3,Pressurization,34.63,95.58,220.41,2.536,30.1,45.15,1.5,0.361,0.000402,0.001,73.1,345,2.78,105.4,14134,138,2.6324,1.86244e-07,0.0,7.642,0.1309,90.73,49998,0,Low
3431,Landing_Gear,Ti-6Al-4V,Pressurization,28.74,27.2,506.4,-0.428,208.86,522.16,2.5,0.224,0.001841,0.8029,113.8,880,4.43,95.4,3157,510,50.0,0.009000875816,0.0001,1.685,0.5934,63.83,49995,0,Medium
3432,Fuselage_Frame,Steel_4340,Ground_Taxi,24.13,22.5,458.65,2.303,222.95,334.43,1.5,0.073,0.001164,0.4276,205.0,470,7.85,104.7,4162,413,50.0,0.000510539325,0.0004,1.405,0.7116,73.16,49982,0,Medium
3433,Engine_Mount,Ti-6Al-4V,Ground_Taxi,30.71,81.44,719.36,0.772,91.3,273.91,3.0,-0.784,0.000795,0.3043,113.8,880,4.43,276.7,13958,510,50.0,0.000249647242,0.0,3.213,0.3113,58.34,49999,0,Medium
3434,Rib_Section,Steel_4340,1g_Level_Flight,32.49,52.09,622.63,-0.522,118.9,297.25,2.5,-0.302,0.000422,0.3719,205.0,470,7.85,7.5,17000,413,50.0,0.000704071064,0.0001,1.581,0.6324,62.13,49994,0,Medium
3435,Skin_Panel,Steel_4340,2.5g_Pull_Up,30.88,86.65,708.65,-0.498,87.72,131.58,1.5,0.134,0.000371,0.001,205.0,470,7.85,2.8,1803,413,3.8453,2.132718e-06,0.0,3.572,0.28,86.02,49999,0,Low
